               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074542,            0.018907,            0.043393,             0.40961,             0.57783,             0.42043,             0.20783,            0.041209,            0.010955,            0.033522,             0.07008,           0.0033244,           0.0033244
                   1,             0.04818,             0.01293,            0.026605,             0.87749,             0.80362,             0.88722,             0.44922,            0.037701,           0.0077416,            0.012888,             0.03986,           0.0064381,           0.0064381
                   2,            0.044924,            0.010648,             0.01181,             0.85684,             0.84363,             0.90991,             0.56395,            0.034467,           0.0068402,           0.0058713,           0.0094206,           0.0093317,           0.0093317
                   3,            0.038154,           0.0097176,           0.0081206,             0.94594,              0.9071,             0.95729,             0.62731,            0.027064,           0.0060356,           0.0045876,             0.00901,             0.00901,             0.00901
                   4,            0.033961,           0.0091873,           0.0069906,              0.9573,             0.89289,             0.95169,             0.64557,            0.027065,           0.0058025,           0.0044025,             0.00901,             0.00901,             0.00901
                   5,            0.031249,           0.0089576,           0.0062071,             0.95132,             0.90438,             0.95933,             0.64953,            0.025003,           0.0057379,           0.0039501,             0.00868,             0.00868,             0.00868
                   6,              0.0293,           0.0085284,           0.0058265,             0.95246,             0.90034,             0.95463,             0.66039,            0.024452,           0.0057586,           0.0044738,             0.00835,             0.00835,             0.00835
                   7,             0.02803,           0.0083153,            0.004794,             0.97084,             0.94225,             0.97761,             0.71342,             0.02115,           0.0049953,           0.0025877,             0.00802,             0.00802,             0.00802
                   8,            0.026378,           0.0079912,           0.0047866,             0.95561,             0.93918,             0.97109,             0.70322,             0.02138,           0.0052195,           0.0025463,             0.00769,             0.00769,             0.00769
                   9,            0.025472,           0.0078127,            0.004541,               0.975,             0.94236,             0.98113,             0.72794,             0.01978,           0.0048145,           0.0021987,             0.00736,             0.00736,             0.00736
                  10,            0.024463,           0.0075341,           0.0037684,             0.97371,             0.95324,             0.98141,             0.72718,            0.019166,           0.0046625,           0.0019815,             0.00703,             0.00703,             0.00703
                  11,            0.023341,           0.0073543,           0.0035509,             0.98373,             0.94843,              0.9804,             0.73508,            0.018937,           0.0046308,           0.0017152,              0.0067,              0.0067,              0.0067
                  12,            0.022943,           0.0072847,           0.0036582,             0.96351,             0.95925,             0.98039,             0.73982,            0.018384,           0.0045418,           0.0016961,             0.00637,             0.00637,             0.00637
                  13,            0.022164,           0.0071588,           0.0031409,             0.97659,              0.9589,             0.98227,             0.74188,            0.018486,           0.0045243,           0.0014556,             0.00604,             0.00604,             0.00604
                  14,            0.021519,           0.0069521,           0.0031675,             0.98415,              0.9621,             0.98247,             0.74784,            0.018165,           0.0044278,           0.0011472,             0.00571,             0.00571,             0.00571
                  15,            0.021081,           0.0068878,           0.0027452,             0.98491,             0.96176,             0.98545,             0.76488,            0.017169,           0.0043025,           0.0011772,             0.00538,             0.00538,             0.00538
                  16,            0.020533,           0.0068041,           0.0028453,             0.97102,             0.96449,             0.98188,             0.76306,            0.017193,           0.0043459,           0.0012515,             0.00505,             0.00505,             0.00505
                  17,            0.019912,           0.0066649,           0.0024722,             0.97737,             0.97356,              0.9851,             0.76919,            0.016836,           0.0042612,           0.0012724,             0.00472,             0.00472,             0.00472
                  18,            0.019393,           0.0065589,            0.002519,             0.98588,             0.96615,             0.98548,             0.77631,            0.016437,           0.0041763,           0.0008063,             0.00439,             0.00439,             0.00439
                  19,            0.018949,           0.0063672,           0.0023848,             0.97376,             0.97604,             0.98482,             0.78417,             0.01613,           0.0041446,          0.00095819,             0.00406,             0.00406,             0.00406
                  20,             0.01816,           0.0062685,           0.0021828,             0.98532,             0.97246,              0.9856,              0.7839,            0.015962,           0.0040203,          0.00069084,             0.00373,             0.00373,             0.00373
                  21,            0.017981,            0.006116,            0.002192,             0.98604,             0.96745,             0.98696,             0.78601,            0.015816,           0.0040342,          0.00087162,              0.0034,              0.0034,              0.0034
                  22,            0.017661,           0.0062476,           0.0019096,               0.985,              0.9644,              0.9855,             0.78497,            0.015801,           0.0039738,          0.00082434,             0.00307,             0.00307,             0.00307
                  23,            0.017146,           0.0060177,           0.0016458,             0.98507,             0.96774,             0.98641,             0.79106,            0.015561,            0.003971,          0.00073386,             0.00274,             0.00274,             0.00274
                  24,             0.01684,            0.005873,           0.0015772,             0.98095,             0.96729,             0.98598,             0.78979,            0.015389,            0.003935,          0.00077062,             0.00241,             0.00241,             0.00241
                  25,            0.016551,           0.0058025,           0.0013782,             0.98411,              0.9751,             0.98637,             0.79313,            0.015292,           0.0039002,          0.00058336,             0.00208,             0.00208,             0.00208
                  26,            0.016288,           0.0057589,           0.0015754,             0.98106,             0.97715,              0.9871,             0.79653,            0.015062,           0.0038285,          0.00057298,             0.00175,             0.00175,             0.00175
                  27,            0.016198,            0.005762,           0.0013612,             0.98709,             0.97429,             0.98794,             0.79805,            0.014986,           0.0038155,          0.00057641,             0.00142,             0.00142,             0.00142
                  28,            0.015584,           0.0056704,           0.0013255,             0.98121,             0.97635,             0.98636,             0.79815,            0.014951,           0.0038142,          0.00049893,             0.00109,             0.00109,             0.00109
                  29,            0.015273,           0.0055498,           0.0012115,             0.98599,             0.97436,             0.98737,             0.80192,            0.014707,           0.0037999,          0.00043181,             0.00076,             0.00076,             0.00076
