               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089219,            0.020758,            0.046543,             0.42873,             0.30417,             0.21742,            0.084086,            0.051733,            0.014147,            0.041583,            0.067839,          0.00099468,          0.00099468
                   1,             0.05019,            0.016396,            0.039345,              0.4453,             0.59107,             0.48134,             0.24388,            0.040586,            0.009779,            0.033688,            0.035439,           0.0019289,           0.0019289
                   2,            0.044152,            0.013603,            0.031804,             0.54242,             0.70187,             0.65723,             0.37597,            0.034761,           0.0079791,            0.024196,           0.0029743,            0.002797,            0.002797
                   3,            0.039071,            0.011311,            0.021612,             0.84379,             0.83949,             0.91343,             0.56436,            0.029244,           0.0063838,            0.011819,            0.002703,            0.002703,            0.002703
                   4,            0.035171,           0.0098415,            0.011948,             0.93904,              0.8982,             0.95651,             0.62225,            0.026915,           0.0057858,           0.0055702,            0.002703,            0.002703,            0.002703
                   5,            0.032091,           0.0092367,           0.0080388,             0.95891,             0.92678,             0.97051,             0.67367,            0.024382,            0.005499,           0.0037855,            0.002604,            0.002604,            0.002604
                   6,            0.029837,           0.0087548,            0.006218,              0.9464,             0.94604,             0.97334,             0.69252,            0.021773,           0.0052132,           0.0030381,            0.002505,            0.002505,            0.002505
                   7,            0.027771,           0.0084001,           0.0054009,             0.97496,             0.93343,             0.97735,             0.68913,            0.021715,           0.0050072,           0.0027161,            0.002406,            0.002406,            0.002406
                   8,            0.026676,           0.0080933,           0.0048516,             0.96528,             0.94818,             0.97895,             0.71022,            0.021338,           0.0048539,            0.002229,            0.002307,            0.002307,            0.002307
                   9,            0.025469,            0.007839,           0.0046348,             0.97666,              0.9463,             0.97991,             0.72439,            0.019725,           0.0047381,           0.0021361,            0.002208,            0.002208,            0.002208
                  10,            0.024271,            0.007589,           0.0041197,             0.98491,             0.94762,             0.98213,             0.72385,            0.019664,           0.0046414,           0.0017954,            0.002109,            0.002109,            0.002109
                  11,            0.023676,           0.0074465,           0.0040113,             0.97769,             0.95244,             0.98277,             0.73346,            0.018902,           0.0045697,           0.0019081,             0.00201,             0.00201,             0.00201
                  12,             0.02282,           0.0073401,           0.0037565,             0.96675,             0.95658,             0.98108,             0.73187,            0.019168,           0.0045941,           0.0021923,            0.001911,            0.001911,            0.001911
                  13,             0.02234,           0.0072594,           0.0034475,             0.97253,             0.96794,             0.98424,             0.74414,            0.018156,           0.0043909,           0.0015496,            0.001812,            0.001812,            0.001812
                  14,            0.021689,           0.0070232,           0.0033318,             0.96945,             0.96899,             0.98524,             0.74615,            0.017937,            0.004358,           0.0015435,            0.001713,            0.001713,            0.001713
                  15,            0.021152,           0.0070369,           0.0030471,              0.9807,             0.96256,             0.98534,             0.75281,            0.017577,           0.0043011,            0.001387,            0.001614,            0.001614,            0.001614
                  16,            0.020648,           0.0068578,           0.0029672,             0.98911,             0.96231,             0.98543,             0.75428,            0.017233,           0.0042577,           0.0011638,            0.001515,            0.001515,            0.001515
                  17,            0.020432,           0.0068251,           0.0027397,             0.98701,             0.96831,             0.98548,             0.75766,            0.017259,           0.0042587,           0.0011811,            0.001416,            0.001416,            0.001416
                  18,            0.019954,           0.0067789,           0.0027427,              0.9863,             0.96903,             0.98558,             0.76116,            0.016852,           0.0041846,           0.0011045,            0.001317,            0.001317,            0.001317
                  19,            0.019469,           0.0066688,           0.0026162,             0.97526,             0.97178,             0.98554,             0.76552,             0.01658,           0.0041531,          0.00090456,            0.001218,            0.001218,            0.001218
                  20,            0.019187,            0.006591,           0.0024048,             0.98865,             0.96927,             0.98674,             0.76788,            0.016506,           0.0041235,          0.00097584,            0.001119,            0.001119,            0.001119
                  21,            0.018827,           0.0064174,           0.0024102,             0.98314,             0.97181,             0.98677,             0.76972,            0.016233,           0.0040872,          0.00077922,             0.00102,             0.00102,             0.00102
                  22,            0.018373,           0.0064817,           0.0021824,             0.98527,             0.96525,             0.98655,             0.76802,            0.016308,            0.004054,          0.00082236,            0.000921,            0.000921,            0.000921
                  23,            0.018015,            0.006394,           0.0021087,             0.98234,             0.97031,             0.98635,             0.77307,            0.016246,           0.0040397,          0.00073878,            0.000822,            0.000822,            0.000822
                  24,             0.01791,           0.0062625,           0.0019204,             0.98506,             0.97139,             0.98628,             0.77427,            0.016132,           0.0040191,          0.00067973,            0.000723,            0.000723,            0.000723
                  25,            0.017635,            0.006239,           0.0019205,              0.9835,             0.96505,             0.98662,             0.77765,            0.016021,           0.0040191,          0.00096615,            0.000624,            0.000624,            0.000624
                  26,            0.017335,           0.0061795,           0.0018181,             0.98717,             0.96627,             0.98684,             0.78003,            0.015964,           0.0039987,          0.00059215,            0.000525,            0.000525,            0.000525
                  27,              0.0173,           0.0062186,            0.001751,             0.98288,             0.96564,             0.98605,              0.7783,            0.015881,           0.0039801,          0.00068124,            0.000426,            0.000426,            0.000426
                  28,            0.016892,           0.0061191,           0.0017685,             0.98695,             0.96738,             0.98739,             0.78042,            0.015672,           0.0039532,          0.00064134,            0.000327,            0.000327,            0.000327
                  29,            0.016715,           0.0060244,           0.0017908,             0.98746,             0.96627,             0.98705,             0.78447,            0.015619,           0.0039502,          0.00055055,            0.000228,            0.000228,            0.000228
